id_partido,equipo,numero,nombre
COD,68,TCHITOMBI Aurelien,9
COD,75,CORNEIL OLIVIER Steeven,9
COD,83,KINZONZOLO MIATUDILA Jacques,9
COD,84,TUZOLANA Audray,9
COD,9,BOUITY GENESE Zephyrin,9
BRN,14,QAMBAR Qasim,10
BRN,15,ABDULREDHA Mohamed,10
BRN,18,FADHUL Ahmed,10
BRN,19,MERZA Mohamed,10
BRN,21,A.HUSAIN Mohamed,10
BRN,25,ALSHUWAIKH Qasim,10
BRN,66,MAHFOODH Komail,10
BRN,7,MERZA Ali,10
BRN,77,ALSALATNA Jasim,10
BRN,78,SALMAN Ali,10
BRN,88,ALFARDAN Hasan,10
BRN,89,SAAD Mahdi,10
BRN,9,ALSAMAHIJI Hasan,10
BRN,93,AHMED Mohamed,10
BRN,98,HABIB Mohamed,10
BRN,99,ALSAYYAD Husain,10
DEN,1,JACOBSEN Niklas Landin,10
DEN,14,ZACHARIASSEN Anders,10
DEN,15,JENSEN Magnus Saugstrup,10
DEN,17,SVAN Lasse J.,10
DEN,20,MOLLER Kevin,10
DEN,21,JENSEN Henrik Mollgaard,10
DEN,22,LARSEN Mads Mensah,10
DEN,24,HANSEN Mikkel,10
DEN,25,OLSEN Morten Toft,10
DEN,26,HANSEN Johan P.,10
DEN,28,ANDERSSON Lasse B.,10
DEN,31,NIELSEN Nikolaj Oris,10
DEN,32,HOLM Jacob T.,10
DEN,33,GIDSEL Mathias,10
DEN,34,JENSEN Simon Hald,10
DEN,4,JACOBSEN Magnus Landin,10
BRA,1,SANTOS Maik,11
BRA,10,TOLEDO Jose,11
BRA,13,MORAES Rogerio,11
BRA,16,da ROSA Rangel,11
BRA,19,CHIUFFA Fabio,11
BRA,2,TEIXEIRA Henrique,11
BRA,25,TEIXEIRA Vinicius,11
BRA,30,PATRIANOVA Arthur,11
BRA,33,DUTRA Leonardo,11
BRA,34,LUCIANO Jose,11
BRA,35,PONCIANO Thiago,11
BRA,37,LANGARO Haniel,11
BRA,4,SILVA Joao,11
BRA,77,HACKBARTH Rudolph,11
BRA,89,ALMEIDA Cesar,11
BRA,95,RODRIGUES Gustavo,11
ESP,1,PEREZ de VARGAS MORENO Gonzalo,11
ESP,10,DUJSHEBAEV DOVICHEBAEVA Alex,11
ESP,11,SARMIENTO MELIAN Daniel,11
ESP,12,CORRALES RODAL Rodrigo,11
ESP,14,SOLE SALA Ferran,11
ESP,17,FIGUERAS TREJO Adrian,11
ESP,21,CANELLAS REIXACH Joan,11
ESP,24,MORROS de ARGILA Viran,11
ESP,28,GOMEZ ABELLO Aleix,11
ESP,29,ARINO BENGOECHEA Aitor,11
ESP,30,GUARDIOLA VILLAPLANA Gedeon,11
ESP,5,MAQUEDA PENO Jorge,11
ESP,52,MARCHAN CRIADO Ruben,11
ESP,59,DUJSHEBAEV DOVICHEBAEVA Daniel,11
ESP,6,FERNANDEZ PEREZ Angel,11
ESP,9,ENTRERRIOS RODRIGUEZ Raul,11
POL,11,MAJDZINSKI Maciej,12
POL,16,WYSZOMIRSKI Piotr,12
POL,19,CZUWARA Jan,12
POL,20,PILITOWSKI Maciej,12
POL,23,MORYTO Arkadiusz,12
POL,26,DASZEK Michal,12
POL,28,GEBALA Maciej,12
POL,30,PRZYBYLSKI Rafal,12
POL,36,DAWYDZIK Dawid,12
POL,4,OLEJNICZAK Michal,12
POL,48,GEBALA Tomasz,12
POL,49,CHRAPKOWSKI Piotr,12
POL,6,KRAJEWSKI Przemyslaw,12
POL,7,WALCZAK Patryk,12
POL,9,SICKO Szymon,12
POL,94,MORAWSKI Adam,12
TUN,12,MAGGAIZ Marouen,12
TUN,15,HAJ YOUSSEF Khaled,12
TUN,19,SANAI Mosbah,12
TUN,22,MAAREF Yousef,12
TUN,27,RZIG Issam,12
